Title,Year,Director,Country,ASL
Derailed ,2002,"Misiorowski, Bob ",USA ,1.53
Shoot 'Em Up ,2007,"Davis, Michael ",USA ,1.6
Resident Evil: Apocalypse ,2004,"Witt, Alexander ",,1.64
DOA: Dead or Alive ,2006,"Yuen, Cory ",,1.66
Banlieue 13 ,2004,"Morel, Pierre ",FRA ,1.67
Transporter 3 ,2008,"Megaton, Olivier ",,1.68
Hot Fuzz ,2007,"Wright, Edgar ",BRI ,1.71
Domino ,2005,"Scott, Tony ",USA ,1.72
End of Days ,1999,"Hyams, Peter ",USA ,1.74
Saw II ,2005,"Bousman, Darren Louis ",USA ,1.74
Catwoman ,2004,Pitof ,,1.76
Stormbreaker ,2006,"Sax, Geoffrey ",BRI ,1.77
Cradle 2 the Grave ,2003,"Bartkowiak, Andrzej ",USA ,1.79
Quantum of Solace ,2008,"Forster, Marc ",,1.82
Transporter 2 ,2005,"Leterrier, L. & Yuen, Cory ",,1.86
"Expendables, The ",2010,"Stallone, Syvester ",USA ,1.88
Moulin Rouge! ,2001,"Luhrmann, Baz ",,1.9
Spun ,2002,"Akerlund, Jonas ",USA ,1.9
Death Race ,2008,"Anderson, Paul W.S. ",,1.9
Rambo ,2007,"Stallone, Sylvester ",,1.91
MVP2: Most Vertical Primate ,2001,"Vince, Robert ",USA ,1.92
Saw IV ,2007,"Bousman, Darren Lynn ",USA ,1.92
"Marine, The ",2006,"Bonito, John ",,1.93
Dark City ,1998,"Proyas, Alex ",USA ,1.95
You Got Served ,2004,"Stokes, Chris ",USA ,1.95
Highlander - The Source ,2007,"Leonard, Brett ",,1.95
Twelve Rounds ,2008,"Harlin, Renny ",USA ,1.95
Colombiana ,2011,"Megaton, Olivier ",FRA ,1.95
Aeon Flux ,2005,"Kusama, Karyn ",USA ,1.96
Die Hard 4.0 ,2007,"Wiseman, Len ",,1.96
War ,2007,"Atwell, Phillip G. ",USA ,1.96
Exit Wounds ,2001,"Bartkowiak, Andrzej ",USA ,1.97
"Rundown, The ",2003,"Berg, Peter ",USA ,1.97
"6th. Day, The ",2000,"Spottiswoode, Roger ",USA ,2
Thir13en Ghosts ,2001,"Beck, Steve ",USA ,2
"Transporter, The ",2002,"Yuen, Cory ",,2
Gamer ,2008,"Neveldine, Mark & Taylor, Brian ",USA ,2.01
Lockout ,2012,"Mather, James & St. Leger, Stephen ",FRA ,2.01
Vantage Point ,2008,"Travis, Pete ",USA ,2.02
Taken ,2007,"Morel, Pierre ",,2.07
X-Men Origins: Wolverine ,2009,"Hood, Gavin ",USA ,2.09
Con Air ,1997,"West, Simon ",USA ,2.1
Universal Soldier: The Return ,1999,"Rodgers, Mic ",USA ,2.1
Driven ,2001,"Harlin, Renny ",,2.1
"Order, The ",2001,"Lettich, Sheldon ",USA ,2.1
"Kingdom, The ",2007,"Berg, Peter ",,2.11
"Better Way to Die, A ",2000,"Wiper, Scott ",USA ,2.13
Just Visiting ,2001,"Poir�, Jean-Marie ",FRA ,2.15
"Bourne Ultimatum, The ",2007,"Greengrass, Paul ",,2.15
Old Dogs ,2009,"Becker, Walt ",USA ,2.15
Unstoppable ,2010,"Scott, Tony ",USA ,2.15
Mirror Mirror ,2012,"Singh, Tarsem ",USA ,2.15
Little Man ,2006,"Wayans, Keenan Ivory ",USA ,2.18
"Invasion, The ",2007,"Hirschbiegl, O. & McTeigue, J. ",,2.19
"Cherry, Harry and Raquel ",1969,"Meyer, Russ ",USA ,2.2
Showdown in Little Tokyo ,1991,"Lester, Mark L. ",USA ,2.2
Tomorrow Never Dies ,1997,"Spottiswoode, Roger ",,2.2
Armageddon ,1998,"Bay, Michael ",USA ,2.2
Lethal Weapon 4 ,1998,"Donner, Richard ",USA ,2.2
Detroit Rock City ,1999,"Rifkin, Adam ",USA ,2.2
3000 miles to Graceland ,2000,"Lichtenstein, Demian ",USA ,2.2
Cats & Dogs ,2001,"Guterman, Lawrence ",USA ,2.2
Don't Say a Word ,2001,"Fleder, Gary ",,2.2
Kiss of the Dragon ,2001,"Nahon, Chris ",,2.2
Race to Witch Mountain ,2009,"Fickman, Andy ",USA ,2.2
Bad Boys II ,2003,"Bay, Michael ",USA ,2.23
Simon Sez ,1999,"Elders, Kevin ",,2.24
"Mechanic, The ",2011,"West, Simon ",USA ,2.24
Hitman ,2007,"Gens, Xavier ",,2.25
Aliens in the Attic ,2009,"Schultz, John ",,2.25
Sorority Row ,2009,"Hendler, Stewart ",USA ,2.26
"A-Team, The ",2010,"Carnahan, Joe ",USA ,2.26
Mean Machine ,2001,"Skolnick, Barry ",,2.27
D�j? Vu ,2006,"Scott, Tony ",USA ,2.27
Banlieue 13 - Ultimatum ,2009,"Alessandrin, Patrick ",FRA ,2.27
"Bourne Supremacy, The ",2004,"Greengrass, Paul ",,2.28
Rocky IV ,1985,"Stallone, Sylvester ",USA ,2.29
Blade Trinity ,2004,"Goyer, David S. ",USA ,2.29
Thunderbirds ,2004,"Frakes, Jonathan ",BRI ,2.29
"Man, The ",2005,"Mayfield, Les ",,2.29
New Town Killers ,2009,"Jobson, Richard ",BRI ,2.29
"Taking of Pelham 123, The ",2009,"Scott, Tony ",,2.29
Breaking Dawn Part Two ,2012,"Condon, Bill ",USA ,2.29
Dezertir ,1933,"Pudovkin, V. ",RUS ,2.3
Rambo III ,1988,"MacDonald, Peter ",USA ,2.3
Sudden Death ,1995,"Hyams, Peter ",USA ,2.3
Black Mask ,1996,"Lee, Daniel ",HKO ,2.3
Mortal Kombat 2: Annihilation ,1997,"Leonetti, John R. ",USA ,2.3
Volcano ,1997,"Jackson, Mick ",USA ,2.3
Inspector Gadget ,1999,"Kellog, David ",USA ,2.3
Mission: Impossible 2 ,1999,"Woo, John ",USA ,2.3
Lara Croft: Tomb Raider ,2001,"West, Simon ",,2.3
Bad Company ,2002,"Schumacher, Joel ",USA ,2.3
Die Another Day ,2002,"Tamahori, Lee ",,2.3
Ghost Ship ,2002,"Beck, Steve ",,2.3
Mindhunters ,2003,"Harlin, Renny ",,2.3
Fast Five ,2011,"Lin, Justin ",USA ,2.3
Runaway Jury ,2003,"Fleder, Gary ",USA ,2.31
Deuce Bigalow: European Gigolo ,2005,"Bigelow, Mike ",USA ,2.32
